Text-values,Numerical-values
Notification 000210299660 is not locked,[[ 11 998   2   4  10]]
Notification 000210299744 is not locked,[[ 11 999   2   4  10]]
Notification 000210295479 is not locked,[[  11 1000    2    4   10]]
Notification 000210299866 is not locked,[[  11 1001    2    4   10]]
Notification 000220410380 is not locked,[[  11 1002    2    4   10]]
Notification 000210297235 is not locked,[[  11 1003    2    4   10]]
Notification 000210299488 is not locked,[[  11 1004    2    4   10]]
Notification 000220410311 is not locked,[[  11 1005    2    4   10]]
Notification 000220413416 is not locked,[[  11 1006    2    4   10]]
Notification 000210297375 is not locked,[[  11 1007    2    4   10]]
Notification 000220412286 is not locked,[[  11 1008    2    4   10]]
Notification 000220412353 is not locked,[[  11 1009    2    4   10]]
Notification 000210293658 is not locked,[[  11 1010    2    4   10]]
Notification 000210300220 is not locked,[[  11 1011    2    4   10]]
Notification 000210293633 is not locked,[[  11 1012    2    4   10]]
09.07.2020 18:11:07  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114  73   8   7   6   1 190   3   9   1 191]]
09.07.2020 18:11:21  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114  73  34   7   6   1 190   3   9   1 191]]
09.07.2020 18:11:27  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114  73 157   7   6   1 190   3   9   1 191]]
09.07.2020 18:11:39  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114  73 188   7   6   1 190   3   9   1 191]]
09.07.2020 18:12:52  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114 120 208   7   6   1 190   3   9   1 191]]
09.07.2020 18:12:59  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114 120 195   7   6   1 190   3   9   1 191]]
09.07.2020 18:13:05  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114 156 107   7   6   1 190   3   9   1 191]]
09.07.2020 18:13:42  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114 156 205   7   6   1 190   3   9   1 191]]
09.07.2020 18:14:41  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114  79 189   7   6   1 190   3   9   1 191]]
09.07.2020 18:15:10  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114  18  29   7   6   1 190   3   9   1 191]]
09.07.2020 18:15:48  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114  18 219   7   6   1 190   3   9   1 191]]
09.07.2020 18:16:07  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114 102   8   7   6   1 190   3   9   1 191]]
09.07.2020 18:16:37  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114 102 199   7   6   1 190   3   9   1 191]]
09.07.2020 18:16:45  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114 102 143   7   6   1 190   3   9   1 191]]
09.07.2020 18:16:54  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114 102 162   7   6   1 190   3   9   1 191]]
09.07.2020 18:17:02  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114 106  96   7   6   1 190   3   9   1 191]]
09.07.2020 18:17:12  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114 106 120   7   6   1 190   3   9   1 191]]
09.07.2020 18:20:57  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114  69 221   7   6   1 190   3   9   1 191]]
09.07.2020 18:21:05  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114  34 107   7   6   1 190   3   9   1 191]]
09.07.2020 18:21:13  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114  34 156   7   6   1 190   3   9   1 191]]
09.07.2020 18:21:19  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114  34  61   7   6   1 190   3   9   1 191]]
09.07.2020 18:21:25  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114  34 154   7   6   1 190   3   9   1 191]]
09.07.2020 18:21:33  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114  34 217   7   6   1 190   3   9   1 191]]
09.07.2020 18:21:50  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114  34 196   7   6   1 190   3   9   1 191]]
09.07.2020 18:21:59  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114  34 195   7   6   1 190   3   9   1 191]]
09.07.2020 18:22:07  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114  68   8   7   6   1 190   3   9   1 191]]
09.07.2020 18:22:24  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114  68  35   7   6   1 190   3   9   1 191]]
09.07.2020 18:22:35  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114  68 159   7   6   1 190   3   9   1 191]]
09.07.2020 18:22:48  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114  68 219   7   6   1 190   3   9   1 191]]
09.07.2020 18:23:44  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114  19 215   7   6   1 190   3   9   1 191]]
09.07.2020 18:58:31  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114 213 164   7   6   1 190   3   9   1 191]]
09.07.2020 18:58:44  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114 213 215   7   6   1 190   3   9   1 191]]
09.07.2020 18:59:08  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114 195  15   7   6   1 190   3   9   1 191]]
Notification 000210299062 is not locked,[[ 11 513   2   4  10]]
Notification 000220411270 is not locked,[[  11 1013    2    4   10]]
Notification 000210297060 is not locked,[[ 11 514   2   4  10]]
Notification 000220413142 is not locked,[[  11 1014    2    4   10]]
Notification 000220414610 is not locked,[[  11 1015    2    4   10]]
Notification 000210293952 is not locked,[[  11 1016    2    4   10]]
Notification 000220415491 is not locked,[[  11 1017    2    4   10]]
Notification 000210293718 is not locked,[[ 11 515   2   4  10]]
Notification 000210298778 is not locked,[[ 11 516   2   4  10]]
Notification 002000709138 is not locked,[[  11 1018    2    4   10]]
Notification 000210299563 is not locked,[[  11 1019    2    4   10]]
Notification 000210297144 is not locked,[[ 11 517   2   4  10]]
Notification 000210294166 is not locked,[[  11 1020    2    4   10]]
Notification 000210301252 is not locked,[[  11 1021    2    4   10]]
Notification 000210299790 is not locked,[[  11 1022    2    4   10]]
09.07.2020 18:10:59  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114  29 195   7   6   1 190   3   9   1 191]]
09.07.2020 18:18:25  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114 114 154   7   6   1 190   3   9   1 191]]
Notification 000210294448 is not locked,[[  11 1023    2    4   10]]
09.07.2020 18:18:15  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114 114  18   7   6   1 190   3   9   1 191]]
09.07.2020 18:58:23  - Invalid User status E0015 for mobile status ZMIC,[[ 25   8   5 114 213  19   7   6   1 190   3   9   1 191]]
Notification 000210293703 is not locked,[[  11 1024    2    4   10]]
Notification 000210299903 is not locked,[[  11 1025    2    4   10]]
Notification 000210297672 is not locked,[[  11 1026    2    4   10]]
Notification 000220412144 is not locked,[[  11 1027    2    4   10]]
Notification 000210296492 is not locked,[[  11 1028    2    4   10]]
Notification 000210296869 is not locked,[[  11 1029    2    4   10]]
Notification 000210293601 is not locked,[[  11 1030    2    4   10]]
Notification 000210293804 is not locked,[[  11 1031    2    4   10]]
Status of order 520586939 does not allow changes,[[   1   42   13 1032   52    4   74   83]]
Status of order 520586462 does not allow changes,[[   1   42   13 1033   52    4   74   83]]
Status of order 520596689 does not allow changes,[[   1   42   13 1034   52    4   74   83]]
Status of order 520607709 does not allow changes,[[   1   42   13 1035   52    4   74   83]]
Status of order 520531882 does not allow changes,[[   1   42   13 1036   52    4   74   83]]
Status of order 520553682 does not allow changes,[[  1  42  13 518  52   4  74  83]]
Status of order 520556046 does not allow changes,[[   1   42   13 1037   52    4   74   83]]
Status of order 520556044 does not allow changes,[[   1   42   13 1038   52    4   74   83]]
Status of order 520548386 does not allow changes,[[   1   42   13 1039   52    4   74   83]]
Status of order 520495282 does not allow changes,[[   1   42   13 1040   52    4   74   83]]
Status of order 520597155 does not allow changes,[[   1   42   13 1041   52    4   74   83]]
Order 520520872 is locked and cannot be changed,[[  13 1042    2   10   27   22    4   23   51]]
Status of order 520591448 does not allow changes,[[   1   42   13 1043   52    4   74   83]]
Order 520596392 is locked and cannot be changed,[[  13 1044    2   10   27   22    4   23   51]]
Status of order 520588843 does not allow changes,[[   1   42   13 1045   52    4   74   83]]
Status of order 520490165 does not allow changes,[[   1   42   13 1046   52    4   74   83]]
Status of order 520560245 does not allow changes,[[   1   42   13 1047   52    4   74   83]]
Order 520560378 is locked and cannot be changed,[[  13 1048    2   10   27   22    4   23   51]]
Status of order 520544754 does not allow changes,[[   1   42   13 1049   52    4   74   83]]
Status of order 520553823 does not allow changes,[[   1   42   13 1050   52    4   74   83]]
Status of order 520552670 does not allow changes,[[   1   42   13 1051   52    4   74   83]]
Status of order 520598331 does not allow changes,[[   1   42   13 1052   52    4   74   83]]
Order 520577451 is locked and cannot be changed,[[  13 1053    2   10   27   22    4   23   51]]
Order 520573498 is locked and cannot be changed,[[ 13 519   2  10  27  22   4  23  51]]
Status of order 520569189 does not allow changes,[[   1   42   13 1054   52    4   74   83]]
Order 520588938 is locked and cannot be changed,[[ 13 520   2  10  27  22   4  23  51]]
Status of order 520588938 does not allow changes,[[  1  42  13 520  52   4  74  83]]
Status of order 520570877 does not allow changes,[[   1   42   13 1055   52    4   74   83]]
Status of order 520510444 does not allow changes,[[   1   42   13 1056   52    4   74   83]]
Status of order 520623634 does not allow changes,[[   1   42   13 1057   52    4   74   83]]
Status of order 520482191 does not allow changes,[[   1   42   13 1058   52    4   74   83]]
Status of order 520587537 does not allow changes,[[   1   42   13 1059   52    4   74   83]]
Status of order 520454776 does not allow changes,[[   1   42   13 1060   52    4   74   83]]
Status of order 520564878 does not allow changes,[[   1   42   13 1061   52    4   74   83]]
Status of order 520392412 does not allow changes,[[   1   42   13 1062   52    4   74   83]]
Status of order 520568242 does not allow changes,[[   1   42   13 1063   52    4   74   83]]
Status of order 520495283 does not allow changes,[[   1   42   13 1064   52    4   74   83]]
Status of order 1000479679 does not allow changes,[[   1   42   13 1065   52    4   74   83]]
Status of order 520573498 does not allow changes,[[  1  42  13 519  52   4  74  83]]
Status of order 520573497 does not allow changes,[[   1   42   13 1066   52    4   74   83]]
Status of order 520579808 does not allow changes,[[   1   42   13 1067   52    4   74   83]]
Status of order 520584387 does not allow changes,[[   1   42   13 1068   52    4   74   83]]
Status of order 520587654 does not allow changes,[[  1  42  13 521  52   4  74  83]]
Order 520571896 is locked and cannot be changed,[[ 13 522   2  10  27  22   4  23  51]]
Status of order 520572005 does not allow changes,[[   1   42   13 1069   52    4   74   83]]
Status of order 520572004 does not allow changes,[[   1   42   13 1070   52    4   74   83]]
Status of order 520596215 does not allow changes,[[   1   42   13 1071   52    4   74   83]]
Status of order 520622039 does not allow changes,[[   1   42   13 1072   52    4   74   83]]
Order 520625374 is locked and cannot be changed,[[  13 1073    2   10   27   22    4   23   51]]
Status of order 520600992 does not allow changes,[[   1   42   13 1074   52    4   74   83]]
Status of order 520588679 does not allow changes,[[   1   42   13 1075   52    4   74   83]]
Status of order 520577918 does not allow changes,[[   1   42   13 1076   52    4   74   83]]
Status of order 520575839 does not allow changes,[[   1   42   13 1077   52    4   74   83]]
Status of order 520539471 does not allow changes,[[  1  42  13 523  52   4  74  83]]
Order 520560385 is locked and cannot be changed,[[  13 1078    2   10   27   22    4   23   51]]
Status of order 520597505 does not allow changes,[[   1   42   13 1079   52    4   74   83]]
Order 520587654 is locked and cannot be changed,[[ 13 521   2  10  27  22   4  23  51]]
Status of order 520553443 does not allow changes,[[   1   42   13 1080   52    4   74   83]]
Status of order 520625892 does not allow changes,[[   1   42   13 1081   52    4   74   83]]
Status of order 520580730 does not allow changes,[[   1   42   13 1082   52    4   74   83]]
Status of order 520577096 does not allow changes,[[   1   42   13 1083   52    4   74   83]]
Status of order 520553200 does not allow changes,[[   1   42   13 1084   52    4   74   83]]
Status of order 1000508207 does not allow changes,[[   1   42   13 1085   52    4   74   83]]
Status of order 520594468 does not allow changes,[[   1   42   13 1086   52    4   74   83]]
Status of order 520527826 does not allow changes,[[   1   42   13 1087   52    4   74   83]]
Order 520565960 is locked and cannot be changed,[[  13 1088    2   10   27   22    4   23   51]]
Status of order 520567488 does not allow changes,[[   1   42   13 1089   52    4   74   83]]
Status of order 520573499 does not allow changes,[[  1  42  13 524  52   4  74  83]]
Order 520573499 is locked and cannot be changed,[[ 13 524   2  10  27  22   4  23  51]]
Status of order 520571746 does not allow changes,[[   1   42   13 1090   52    4   74   83]]
Status of order 520530960 does not allow changes,[[  1  42  13 525  52   4  74  83]]
Order 520553682 is locked and cannot be changed,[[ 13 518   2  10  27  22   4  23  51]]
Status of order 520585935 does not allow changes,[[  1  42  13 526  52   4  74  83]]
Status of order 520563130 does not allow changes,[[   1   42   13 1091   52    4   74   83]]
Status of order 520563129 does not allow changes,[[   1   42   13 1092   52    4   74   83]]
Status of order 520334799 does not allow changes,[[   1   42   13 1093   52    4   74   83]]
Status of order 520571896 does not allow changes,[[  1  42  13 522  52   4  74  83]]
Status of order 520572003 does not allow changes,[[   1   42   13 1094   52    4   74   83]]
Status of order 520575635 does not allow changes,[[  1  42  13 527  52   4  74  83]]
Status of order 520582032 does not allow changes,[[   1   42   13 1095   52    4   74   83]]
Status of order 520577514 does not allow changes,[[   1   42   13 1096   52    4   74   83]]
Order 520614544 is locked and cannot be changed,[[  13 1097    2   10   27   22    4   23   51]]
Status of order 520548160 does not allow changes,[[   1   42   13 1098   52    4   74   83]]
Status of order 520555534 does not allow changes,[[   1   42   13 1099   52    4   74   83]]
Order 520530960 is locked and cannot be changed,[[ 13 525   2  10  27  22   4  23  51]]
Status of order 520553680 does not allow changes,[[   1   42   13 1100   52    4   74   83]]
Status of order 520552737 does not allow changes,[[   1   42   13 1101   52    4   74   83]]
Status of order 520544629 does not allow changes,[[   1   42   13 1102   52    4   74   83]]
Status of order 520579204 does not allow changes,[[   1   42   13 1103   52    4   74   83]]
